Station_Name_Korean,Station_Name_English,Station_Code,Managing_Organization,Major_Basin_Code,Subbasin_Code,Observation_Start_Date,River_Name,Basin_Area,River_Width,Bed_Slope,River_Main_Junction_Distance,Watershed_Distance,Address,X_Coordinate,Y_Coordinate,Start_Systematic_Observation,End_Systematic_Observation,Start_Old_Observation,End_Old_Observation,Number_of_Records,Data_Quality_or_Completeness,Geometry,Longitude,Latitude
여주시(강천리),Yeojusi(Gangcheonri),1007620,환경부,한강,100706,35309,한강,10325.63,isnull,isnull,160.4,0,경기도 여주시 강천면 강천리 546-1,263352,414900,199412,202301,199412,202301,1798.0,,POINT (263352 414900),127.71180984375076,37.23386432581336
여주시(남한강교),Yeojusi(Namhanganggyo),1007625,환경부,한강,100706,37000,한강,10930.43,isnull,isnull,153.3,0,경기도 여주시 우만동 (구)남한강교,260425,417469,200010,202301,200010,202301,3652.0,ㅇ,POINT (260425 417469),127.6790359366904,37.25720438031503
강천보(상류),isnull,1007633,환경부,한강,100706,40878,한강,10947.42,isnull,isnull,149.42,isnull,경기도 여주시 단현동 47-3,260607,419536,201112,202301,201111,202301,1489.0,,POINT (260607 419536),127.68125546285556,37.27581563780663
강천보(하류),isnull,1007634,환경부,한강,100708,40878,한강,10948.57,isnull,isnull,148.21,isnull,경기도 여주군 강천면 이호리 523-2,260721,420739,201112,202301,201111,202301,1473.0,,POINT (260721 420739),127.68263882884304,37.28664686639446
여주시(여주대교),Yeojusi(Yeojudaegyo),1007635,환경부,한강,100709,4809,한강,11095.93,502,410,145.9,347.1,경기도 여주시 상동 여주대교,257436,422103,191707,202301,191503,202301,3652.0,ㅇ,POINT (257436 422103),127.6457020168564,37.29914439356139
여주보(상류),isnull,1007639,환경부,한강,100709,40961,한강,10947.38,isnull,isnull,149.42,isnull,경기도 여주시 대신면 천남리 680,254557,425383,201202,202301,201202,202301,1505.0,,POINT (254557 425383),127.61347311130471,37.32886945075808
여주시(율극교),Yeojusi(Yulgkukgyo),1007640,환경부,한강,100711,39013,양화천,179.95,isnull,isnull,3.54,isnull,경기도 여주시 흥천면 율극리 율극교,250810,426222,200612,202301,200611,202301,3506.0,,POINT (250810 426222),127.57125464583612,37.33664079312649
여주보(하류),isnull,1007641,환경부,한강,100710,40961,한강,10948.57,isnull,isnull,148.21,isnull,경기도 여주시 능서면 왕대리 1008,253472,425653,201202,202301,201202,202301,2591.0,,POINT (253472 425653),127.60125098366278,37.33136506068505
이천시(동산교),icheonsi(dongsangyo),1007642,환경부,한강,100712,44652,복하천,isnull,isnull,isnull,24.3,isnull,경기도 이천시 호법면 주박리 522번지,236933,413140,202204,202301,202203,202301,600.0,,POINT (236933 413140),127.41401888037788,37.21942501355591
이천시(복하교),Icheonsi(Bokhagyo),1007645,환경부,한강,100713,32234,복하천,165.54,isnull,isnull,14.68,0,경기도 이천시 부발읍 신하리 복하교,240876,418738,198909,202301,198804,202301,2066.0,,POINT (240876 418738),127.45874926365629,37.26969937481611
여주시(흥천대교),Yeojusi(Heungcheondaegyo),1007650,환경부,한강,100714,37001,복하천,294.44,isnull,isnull,4.98,0,경기도 여주시 흥천면 다대리 흥천대교,247438,426110,200010,202301,200010,202301,3595.0,,POINT (247438 426110),127.53319844796746,37.33580972231582
여주시(양촌교),Yeojusi(Yangcheongyo),1007655,환경부,한강,100710,39013,곡수천,54.41,isnull,isnull,3.15,isnull,경기도 여주시 대신면 초현리 양촌교,249842,431612,200612,202301,200611,202301,2988.0,,POINT (249842 431612),127.5606939911822,37.385255803146485
이포보(상류),isnull,1007662,환경부,한강,100710,41003,한강,11774.88,isnull,isnull,128.77,isnull,경기도 여주시 금사면 이포리 이포대교,247616,433665,201310,202301,201310,202301,2590.0,,POINT (247616 433665),127.535691944147,37.40386961207063
이포보(하류),isnull,1007664,환경부,한강,100715,41003,한강,11776.03,isnull,isnull,128.08,isnull,경기도 여주시 대신면 천서리 674,247931,434468,201310,202301,201310,202301,1499.0,,POINT (247931 434468),127.53930151171885,37.411088212068094
양평군(흑천교),Yangpyeonggun(Heukcheongyo),1007680,환경부,한강,100717,32234,흑천,307.82,isnull,isnull,2.87,0,경기도 양평군 개군면 공세리 흑천교,246666,440874,198903,202301,198804,202301,3629.0,,POINT (246666 440874),127.52541774432,37.46886882277934
양평군(양평교),Yangpyeonggun(Yangpyeonggyo),1007685,환경부,한강,100718,19664,한강,12106.5,630,110,120.65,375.2,경기도 양평군 양평읍 양근리 양평교,243336,443106,195907,202301,195311,202301,3553.0,,POINT (243336 443106),127.48790735697062,37.4891402601206
양평군(봉상교),Yangpyeonggun(Bongsanggyo),1007690,환경부,한강,100717,41639,흑천,163.32,isnull,isnull,17,isnull,경기도 양평군 단월면 봉상리 봉상교,257591,445998,201312,202301,201312,202301,3158.0,,POINT (257591 445998),127.64930920628665,37.51441805756431
양평군(신원리),Yangpyeong(sinwonri),1007697,환경부,한강,100719,42681,한강,12363.05,isnull,isnull,103.84,isnull,경기도 양평군 양서면 신원리 462-2,232829,447344,201611,202301,201611,202301,1275.0,,POINT (232829 447344),127.36929400819145,37.52775598723086
화천군(평화나래교),Hwacheongun(Pyeonghwanaraegyo),1009652,한국수자원공사,한강,100903,40409,북한강,3227,isnull,isnull,148.5,isnull,강원도 화천군 화천읍 동촌리 3061 평화나래교,274396,523620,201012,202301,201012,202301,3329.0,,POINT (274396 523620),127.84735513877864,38.21247196899305
약수교,Yak Su Kyo,1010630,한국수력원자력,한강,101004,41608,서천,167.07,isnull,isnull,14.35,isnull,강원도 양구군 동면 후곡리,291407,519106,201311,202301,201311,202301,340.0,,POINT (291407 519106),128.04098250346624,38.17024775807943
양구군(송청제2교),yanggugun(songcheonje2gyo),1010633,환경부,한강,101004,44652,서천,isnull,isnull,isnull,1.9,isnull,강원도 양구군 양구읍 송청리 166-10번지,287510,510182,202204,202301,202203,202301,3.0,,POINT (287510 510182),127.99542445068882,38.09024973730899
하리교,isnull,1010635,한국수력원자력,한강,101004,39438,isnull,isnull,isnull,isnull,isnull,isnull,강원도 양구군 양구읍 하리,286316,512421,200902,202301,200902,202301,672.0,,POINT (286316 512421),127.98208611470967,38.11053269943825
양구군(각시교),Yanggugun(Gaksigyo),1010640,한국수자원공사,한강,101003,36050,수입천,293.4,isnull,isnull,15.3,0,강원도 양구군 방산면 금악리 905 각시교,281084,521525,199907,202301,199601,202301,3579.0,,POINT (281084 521525),127.92347207683844,38.19302392940099
남전교,isnull,1010642,한국수력원자력,한강,101003,39438,isnull,isnull,isnull,isnull,isnull,isnull,강원도 양구군 방산면 오미리,278975,520703,200902,202301,200902,202301,672.0,,POINT (278975 520703),127.89930926449016,38.18580664590842
화천군(화천댐),Hwacheongun(Hwacheondam),1010660,환경부,한강,101006,27214,북한강,4017.16,isnull,isnull,121.49,isnull,강원도 화천군 간동면 구만리 화천댐,268157,513328,197507,202301,196701,202301,1953.0,,POINT (268157 513328),127.77513962910452,38.12025363416011
화천군(오작교),Hwacheongun(Ojakgyo),1010670,한국수자원공사,한강,100903,37530,북한강,3590,isnull,isnull,159.5,0,강원도 화천군 화천읍 풍산리 산269 오작교,271039,531947,200204,202301,200204,202301,3329.0,,POINT (271039 531947),127.8098614014459,38.28775181515987
용신교,isnull,1010677,한국수력원자력,한강,101008,39438,isnull,isnull,isnull,isnull,isnull,isnull,강원도 화천군 화천읍 상리,261782,512321,200902,202301,200902,202301,672.0,,POINT (261782 512321),127.70235880421976,38.11164017130214
화천군(화천대교),Hwacheongun(Hwacheondaegyo),1010680,한국수자원공사,한강,101009,37530,북한강,1584,isnull,isnull,109.7,0,강원도 화천군 하남면 위라리 525 화천대교,262108,511152,200204,202301,200204,202301,3329.0,,POINT (262108 511152),127.70597420157252,38.101087070681935
오탄교,isnull,1010684,한국수력원자력,한강,101009,39438,isnull,isnull,isnull,isnull,isnull,isnull,강원도 춘천시 사북면 지촌리,255862,512278,200902,202301,200902,202301,672.0,,POINT (255862 512278),127.63485695487093,38.11163767800692
춘천시(춘천댐),Chuncheonsi(Chuncheondam),1010690,환경부,한강,101011,27214,북한강,4736,isnull,isnull,87.49,isnull,강원도 춘천시 신북읍 용산리 춘천댐,258727,496727,197507,202301,196701,202301,2128.0,,POINT (258727 496727),127.66624992228388,37.97136444521552
춘천시(춘천댐하류),Seowon,1010695,환경부,한강,101012,22828,북한강,4798.78,440,1300,84.32,234,강원도 춘천시 서면 서상리 산 2-2,259393,495714,196307,202301,196301,202301,1769.0,,POINT (259393 495714),127.67374544426852,37.96219543358807
인제군(반월촌교),Injegun(Banwolchongyo),1011620,환경부,한강,101102,42002,인북천,isnull,isnull,isnull,106.2,isnull,강원도 인제군 서화면 심적리 반월촌교,305337,530038,201412,202301,201412,202301,2191.0,,POINT (305337 530038),128.20153462007818,38.26719288647753
인제군(어두원교),BukCheon,1011650,한국수자원공사,한강,101103,36640,북천,304.1,isnull,isnull,4,0,강원도 인제군 북면 원통리 235 어두원교,308129,515765,200110,202301,200004,202301,3581.0,,POINT (308129 515765),128.2312613292222,38.13830730308153
인제군(원통리),Injegun(Weontongri),1011690,한국수자원공사,한강,101103,26522,인북천,531,isnull,isnull,4.1,0,강원도 인제군 북면 원통리 1798,306056,514103,197507,202301,197403,202301,3579.0,,POINT (306056 514103),128.20737372137543,38.123583363275074
인제군(도리촌교),Injegun(Dorichongyo),1011693,한국수자원공사,한강,101104,40699,isnull,isnull,isnull,isnull,isnull,isnull,강원도 인제군 북면 월학리 1201 도리촌교,305870,511510,201902,202301,201902,202301,1407.0,,POINT (305870 511510),128.2048687890205,38.10024989685567
인제군(리빙스턴교),Injegun(livingstongyo),1011695,환경부,한강,101104,42681,인북천,892.66,isnull,isnull,1.33,isnull,강원도 인제군 인제읍 합강리 리빙스턴교,303812,510466,201611,202301,201611,202301,1791.0,,POINT (303812 510466),128.18125955497024,38.09108490843328
인제군(왕성동교),Injegun(Waeongseongdonggyo),1012630,환경부,한강,101201,39281,내린천,387.67,isnull,isnull,48.49,isnull,강원도 인제군 상남면 미산리 왕성동교,316387,486611,200705,202301,200705,202301,3036.0,,POINT (316387 486611),128.32070936566586,37.874697103336445
인제군(양지교),Injegun(Yanggigyo),1012635,환경부,한강,101202,42681,방내천,162.24,isnull,isnull,0.63,isnull,강원도 인제군 상남면 미산리 양지교,313349,487093,201611,202301,201611,202301,1231.0,,POINT (313349 487093),128.28626420370395,37.87942116069912
인제군(현리교),Injegun(Hyeonrigyo),1012640,환경부,한강,101204,41197,방태천,190.13,isnull,isnull,0.76,isnull,강원도 인제군 기린면 현리 현리교,315779,495053,201209,202301,201209,202301,3060.0,,POINT (315779 495053),128.31515523302508,37.950811355304864
인제군(하죽천교),Injegun(Hajukjeonggyo),1012645,환경부,한강,101205,42681,소양강,857.81,isnull,isnull,100.48,isnull,강원도 인제군 기린면 서리 하죽천교,314928,498248,201611,202301,201611,202301,1713.0,,POINT (314928 498248),128.30598559938326,37.97969640180834
인제군(원대교),Injegun(Weondaegyo),1012650,한국수자원공사,한강,101205,37565,소양강,1039.1,isnull,isnull,82.5,0,강원도 인제군 인제읍 원대리 산75-10 원대교,308976,501621,197507,202301,198101,202301,3579.0,,POINT (308976 501621),128.23876736334083,38.01081073208237
인제군(양구대교),Injegun(Yanggudaegyo),1012670,한국수자원공사,한강,101206,41791,소양강,2294.3,isnull,isnull,49,0,강원도 인제군 남면 상수내리 산31-23 양구대교,292794,499910,198706,202301,198706,202301,3579.0,,POINT (292794 499910),128.0543185485901,37.99719721900285
춘천시(천전리),Chuncheonsi(Cheonjeonri),1012685,환경부,한강,101208,22828,소양강,2690.19,51,540,11.35,150.25,강원도 춘천시 신북읍 천전리61-20,269527,492587,199902,202301,196201,202301,1785.0,,POINT (269527 492587),127.78875232838,37.933307845259165
지내,isnull,1012688,한국수자원공사,한강,101208,40026,isnull,isnull,isnull,isnull,isnull,isnull,강원도 춘천시 신북읍 천전리 1259-1 소양6교,268481,492054,201508,202301,201508,202301,2635.0,,POINT (268481 492054),127.7768046561732,37.92858559811458
목동교,Mok Dong Kyo,1013620,한국수력원자력,한강,101306,41608,가평천,305.38,isnull,isnull,10.93,isnull,경기도 가평군 북면 목동리,248238,487161,201311,202301,201311,202301,340.0,,POINT (248238 487161),127.5462434877446,37.88580201292985
